arabic,bangla,english
نُورٌ,আলো,Light
ظُلُمَاتٌ,অন্ধকার,Darkness
مُبِينٌ,স্পষ্ট প্রকাশমান,Clear/manifest
عَهْدٌ,অঙ্গীকার,Covenant
مِيثَاقٌ,চুক্তি অঙ্গীকার,Pact/covenant
مَلَكٌ,ফেরেশতা,Angel
عَرْشٌ,আরশ সিংহাসন,Throne
إِلٰهٌ,ইলাহ; উপাস্য,God/deity
وَاحِدٌ,এক (পুং),One (masculine)
وَاحِدَةٌ,এক (স্ত্রী),One (feminine)
أَحَدٌ,এক,One
إِحْدَىٰ,এক,One (feminine)
كِتَابٌ,কিতাব; গ্রন্থ,Book
قُرْآنٌ,কুরআন,Quran
ٱلتَّوْرَاةُ,তাওরাত,Torah
ٱلْإِنجِيلُ,ইনজিল,Gospel
شَرِيكٌ,অংশীদার,Partner
تَقْوَىٰ,তাকওয়া; ভয়; নিরাপত্তা,Piety/fear of Allah
غَيْبٌ,অদৃশ্য; গায়েব,Unseen
كَلِمَةٌ,শব্দ,Word
شَهَادَةٌ,সাক্ষ্য,Testimony
شَهِيدٌ,সাক্ষী; উপস্থিত,Witness
أَعْمَالٌ,কাজ আমল,Deeds/works
حَسَنَةٌ,ভালো কাজ,Good deed
سَيِّئَةٌ,মন্দ কাজ,Bad deed
খَيْرٌ,ভালো উত্তম,Good
شَرٌّ,খারাপ মন্দ,Evil
إِثْمٌ,পাপ,Sin
ذَنْبٌ,গুনাহ পাপ,Sin/fault
جُنَاحٌ,গুনাহ,Sin/fault
حَرَامٌ,হারাম,Forbidden
اِسْمٌ,নাম,Name
حَدِيثٌ,কথা বাণী আলোচনা,Speech/narration
بَأْسٌ,বিপদ দুর্দশা,Misfortune/hardship
نَصِيبٌ,অংশ ভাগ,Share/portion
فَضْلٌ,অনুগ্রহ কৃপা,Grace/favor
نِعْمَةٌ,অনুগ্রহ নিয়ামত,Blessing
آلَاءٌ,অনুগ্রহসমূহ,Favors/blessings
طَيِّبَةٌ,পবিত্র ভালো,Pure/good
مَاءٌ,পানি,Water
مُلْكٌ,কর্তৃত্ব রাজত্ব,Kingdom/dominion
سُلْطَانٌ,শক্তিশালী দলিল/প্রমান,Authority/proof
فَوْزٌ,সফলতা,Success
فَرِيقٌ,দল গোষ্ঠী,Group/party
জَمِيعٌ,সবাই,All
أَجْمَعُونَ,সবাই (সমষ্টিগত),All together
سَوَاءٌ,সমান ন্যায়সঙ্গত,Equal/same
إِذْنٌ,অনুমতি,Permission
أُمٌّ,মা,Mother
أَبٌ,বাবা,Father
زَوْجٌ,স্ত্রী স্বামী,Spouse
رَجُلٌ,পুরুষ,Man
ٱمْرَأَةٌ,নারী,Woman
وَلَدٌ,সন্তান,Child
وَالِدٌ,পিতা-মাতা,Parent
ذُرِّيَّةٌ,বংশধর সন্তান,Offspring
ٱبْنٌ,পুত্র,Son
بَنُونَ,পুত্রগণ,Sons
أَخٌ,ভাই,Brother
إِخْوَةٌ,ভাইয়েরা,Brothers
مَوْلًى,অভিভাবক রক্ষক,Guardian/master
فَمٌ,মুখ,Mouth
عَيْنٌ,চোখ,Eye
بَصَرٌ,দৃষ্টি,Sight
وَجْهٌ,মুখমণ্ডল,Face
لِسَانٌ,জিহ্বা ভাষা,Tongue/language
قَلْبٌ,হৃদয়,Heart
صَدْرٌ,বক্ষ বুক,Chest
بَطْنٌ,পেট গর্ভ,Belly/womb
يَدٌ,হাত,Hand
رِجْلٌ,পা,Foot/leg
نَفْسٌ,আত্মা,Soul/self
رُوحٌ,রূহ আত্মা,Spirit
قُوَّةٌ,শক্তি ক্ষমতা,Power/strength
بَيْتٌ,ঘর,House
دَارٌ,আবাস বসতভিটা,Abode/dwelling
دُنْيَا,দুনিয়া,World
سَبِيلٌ,পথ,Way/path
صِرَاطٌ,সঠিক পথ,Straight path
عَالَمُونَ,জগৎসমূহ,Worlds
فِتْنَةٌ,ফিতনা পরীক্ষা,Trial/test
قَرْيَةٌ,জনপদ শহর,Town/village
مَالٌ,ধন-সম্পদ,Wealth/property
مَتَاعٌ,ভোগ সম্পদ,Goods/enjoyment
مَسْجِدٌ,মসজিদ,Mosque
مَكَانٌ,স্থান অবস্থান,Place/position
شَجَرٌ,গাছ,Tree
أُمَّةٌ,জাতি উম্মত,Nation/community
قَوْمٌ,কওম সম্প্রদায়,People/community
إِنسَانٌ,মানুষ,Human being
نَاسٌ,মানুষজন,People
بَشَرٌ,মানবজাতি,Mankind
ذَكَرٌ,পুরুষ,Male
أُنْثَىٰ,নারী,Female
عَبْدٌ,দাস,Servant/slave
عَدُوٌّ,শত্রু,Enemy
كُفَّارٌ,কাফিরগণ,Disbelievers
مُجْرِمٌ,অপরাধী,Criminal
مَلَأٌ,নেতৃবৃন্দ,Chiefs/leaders
وَلِيٌّ,অভিভাবক বন্ধু,Guardian/friend
دَابَّةٌ,জীবজন্তু জীবন্ত সৃষ্টি,Living creature
دَرَجَاتٌ,মর্যাদা স্তর,Degrees/ranks
سُنَّةٌ,পথ অভ্যাস,Way/practice
شَفَاعَةٌ,সুপারিশ,Intercession
عَدْلٌ,প্রতিদান,Justice
لَعْنَةٌ,অভিশাপ,Curse
لَيْتَ,যদি এমন হতো,If only
مَدِينَةٌ,শহর,City
مَرَضٌ,রোগ,Disease
مَقَامٌ,অবস্থান,Station/position
مَلِكٌ,রাজা,King
مِلَّةٌ,ধর্ম,Religion/way
نَبَأٌ,সংবাদ বার্তা,News/tidings
أَعْمَىٰ,অন্ধ,Blind
أُلُو ٱلْأَلْبَابِ,বুদ্ধিমান বিবেকসম্পন্ন,People of understanding
بَرٌّ,জমিন সৎকর্মশীল,Land/righteous
بَلَٰغٌ,পৌঁছানো বার্তা পৌঁছানো,Delivery/message
بَنَاتٌ,কন্যা,Daughters
بُشْرَىٰ,সুসংবাদ,Good news
بَابٌ,দরজা,Door/gate
تَأْوِيلٌ,ব্যাখ্যা তাফসীর,Interpretation
تُرَابٌ,মাটি,Dust/earth
ثَلَاثَةٌ,তিন,Three
ثَمَرَاتٌ,ফল,Fruits
حُدُودٌ,সীমা সীমারেখা,Boundaries/limits
أَحْسَنُ,সর্বোত্তম সেরা,Best/most beautiful
